434297,3,25,No Variant,CptAggro,efaust,sjdrodge
434272,3,23,No Variant,CptAggro,efaust,sjdrodge
434258,3,25,No Variant,CptAggro,efaust,sjdrodge
433222,4,24,No Variant,CptAggro,efaust,micerang,sjdrodge
433207,3,23,No Variant,CptAggro,efaust,sjdrodge
433198,3,0,No Variant,CptAggro,efaust,sjdrodge
433196,4,0,Prism (5 Suits),CptAggro,efaust,fuckthiswebsite,sjdrodge
433194,2,20,Prism (4 Suits),CptAggro,sjdrodge
432895,3,0,4 Suits,CptAggro,efaust,sjdrodge
432884,3,25,No Variant,CptAggro,efaust,sjdrodge
432865,3,24,No Variant,CptAggro,efaust,sjdrodge
432844,3,18,4 Suits,CptAggro,efaust,sjdrodge
432828,3,25,No Variant,CptAggro,efaust,sjdrodge
432130,3,24,No Variant,CptAggro,efaust,sjdrodge
432111,3,25,No Variant,CptAggro,efaust,sjdrodge
432105,3,0,No Variant,CptAggro,efaust,sjdrodge
432102,3,25,No Variant,CptAggro,efaust,sjdrodge
432094,3,18,4 Suits,CptAggro,efaust,sjdrodge
432078,3,20,4 Suits,CptAggro,efaust,sjdrodge
432060,4,25,No Variant,bigbadjohn,CptAggro,efaust,sjdrodge
432030,4,25,No Variant,bigbadjohn,CptAggro,efaust,sjdrodge
432018,4,0,No Variant,bigbadjohn,CptAggro,efaust,sjdrodge
432013,3,25,No Variant,bigbadjohn,CptAggro,sjdrodge
432004,3,25,No Variant,bigbadjohn,CptAggro,sjdrodge
430923,4,25,No Variant,CptAggro,efaust,lenv11,sjdrodge
430917,4,25,No Variant,CptAggro,efaust,lenv11,sjdrodge
430910,4,0,No Variant,CptAggro,efaust,lenv11,sjdrodge
430904,4,24,No Variant,CptAggro,efaust,lenv11,sjdrodge
430897,3,0,No Variant,efaust,lenv11,sjdrodge
429758,4,25,No Variant,CptAggro,efaust,micerang,sjdrodge
429749,4,25,No Variant,CptAggro,efaust,micerang,sjdrodge
429734,3,25,No Variant,CptAggro,efaust,sjdrodge
429510,3,0,No Variant,bigbadjohn,CptAggro,sjdrodge
428757,4,0,No Variant,efaust,lenv11,paulcd2000,sjdrodge
428749,4,25,No Variant,efaust,lenv11,paulcd2000,sjdrodge
428697,4,25,No Variant,bigbadjohn,CptAggro,efaust,sjdrodge
428625,4,20,4 Suits,CptAggro,efaust,paulcd2000,sjdrodge
428591,4,18,4 Suits,CptAggro,efaust,paulcd2000,sjdrodge
428560,4,0,4 Suits,CptAggro,efaust,paulcd2000,sjdrodge
428556,4,20,4 Suits,CptAggro,efaust,paulcd2000,sjdrodge
428533,4,19,4 Suits,CptAggro,efaust,paulcd2000,sjdrodge
428154,3,0,4 Suits,CptAggro,efaust,sjdrodge
428145,3,20,4 Suits,CptAggro,efaust,sjdrodge
428101,3,17,4 Suits,CptAggro,efaust,sjdrodge
428075,3,20,4 Suits,CptAggro,efaust,sjdrodge
428054,3,0,4 Suits,CptAggro,efaust,sjdrodge
428047,3,20,4 Suits,CptAggro,efaust,sjdrodge
428014,3,0,4 Suits,CptAggro,efaust,sjdrodge
427548,4,0,Dark Omni (6 Suits),efaust,fuckthiswebsite,micerang,sjdrodge
427542,4,0,No Variant,efaust,fuckthiswebsite,lenv11,sjdrodge
427508,3,18,4 Suits,efaust,lenv11,sjdrodge
427495,3,0,4 Suits,efaust,lenv11,sjdrodge
427155,3,20,Rainbow & Pink (4 Suits),efaust,fuckthiswebsite,sjdrodge
427121,3,30,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
427088,3,0,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
427083,3,0,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
427070,3,27,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
427042,3,0,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
426368,3,25,No Variant,efaust,fuckthiswebsite,sjdrodge
426366,3,0,No Variant,efaust,fuckthiswebsite,sjdrodge
426364,3,25,No Variant,efaust,fuckthiswebsite,sjdrodge
426358,3,0,Light Pink (6 Suits),efaust,fuckthiswebsite,sjdrodge
426346,3,0,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
426338,3,0,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
426334,3,0,Omni (6 Suits),efaust,fuckthiswebsite,sjdrodge
425201,4,25,No Variant,CptAggro,efaust,micerang,sjdrodge
425200,4,0,No Variant,CptAggro,efaust,micerang,sjdrodge
425198,4,0,No Variant,CptAggro,efaust,micerang,sjdrodge
